Thu Aug 15 13:16:20 2024       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 545.23.08              Driver Version: 545.23.08    CUDA Version: 12.3     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  Tesla V100-SXM2-32GB           On  | 00000000:89:00.0 Off |                    0 |
| N/A   33C    P0              54W / 300W |    393MiB / 32768MiB |      0%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|    0   N/A  N/A      2616      C   julia                                       390MiB |
+---------------------------------------------------------------------------------------+
i:      0, sim time:  0 seconds, wall time:  0 seconds, progress        0.0, Δt: 1.778 seconds, CFL: 7.50e-01
i:    100, sim time: 2.966 minutes, wall time: 30.020 seconds, progress 0.04118795676206649, Δt: 1.780 seconds, CFL: 7.50e-01
i:    200, sim time: 5.933 minutes, wall time: 30.642 seconds, progress 0.08240714483765718, Δt: 1.781 seconds, CFL: 7.50e-01
i:    300, sim time: 8.902 minutes, wall time: 31.262 seconds, progress 0.12363412914210635, Δt: 1.781 seconds, CFL: 7.50e-01
i:    400, sim time: 11.870 minutes, wall time: 31.866 seconds, progress 0.16486535503159774, Δt: 1.781 seconds, CFL: 7.50e-01
i:    500, sim time: 14.839 minutes, wall time: 32.472 seconds, progress 0.20609810292158104, Δt: 1.781 seconds, CFL: 7.50e-01
i:    600, sim time: 17.791 minutes, wall time: 34.811 seconds, progress 0.2470936174880437, Δt: 1.781 seconds, CFL: 7.50e-01
i:    700, sim time: 20.760 minutes, wall time: 35.416 seconds, progress 0.2883280515578523, Δt: 1.781 seconds, CFL: 7.50e-01
i:    800, sim time: 23.728 minutes, wall time: 36.029 seconds, progress 0.32956235739820094, Δt: 1.781 seconds, CFL: 7.50e-01
i:    900, sim time: 26.697 minutes, wall time: 36.642 seconds, progress 0.37079714880263737, Δt: 1.781 seconds, CFL: 7.50e-01
i:   1000, sim time: 29.666 minutes, wall time: 37.258 seconds, progress 0.41203255211865514, Δt: 1.781 seconds, CFL: 7.50e-01
i:   1100, sim time: 32.613 minutes, wall time: 37.898 seconds, progress 0.4529541306718681, Δt: 1.781 seconds, CFL: 7.50e-01
i:   1200, sim time: 35.582 minutes, wall time: 38.512 seconds, progress 0.49419004418153045, Δt: 1.781 seconds, CFL: 7.50e-01
i:   1300, sim time: 38.551 minutes, wall time: 39.141 seconds, progress 0.5354259671430767, Δt: 1.781 seconds, CFL: 7.50e-01
i:   1400, sim time: 41.520 minutes, wall time: 39.763 seconds, progress 0.5766617543968718, Δt: 1.781 seconds, CFL: 7.50e-01
i:   1500, sim time: 44.489 minutes, wall time: 40.402 seconds, progress 0.6178975240269258, Δt: 1.781 seconds, CFL: 7.50e-01
i:   1600, sim time: 47.435 minutes, wall time: 42.707 seconds, progress 0.6588134733442184, Δt: 1.781 seconds, CFL: 7.50e-01
i:   1700, sim time: 50.404 minutes, wall time: 43.348 seconds, progress 0.7000493131034683, Δt: 1.781 seconds, CFL: 7.50e-01
i:   1800, sim time: 53.373 minutes, wall time: 43.982 seconds, progress 0.7412853074080508, Δt: 1.781 seconds, CFL: 7.50e-01
i:   1900, sim time: 56.342 minutes, wall time: 44.614 seconds, progress 0.782520953832287, Δt: 1.781 seconds, CFL: 7.50e-01
i:   2000, sim time: 59.310 minutes, wall time: 45.256 seconds, progress 0.8237569145657881, Δt: 1.781 seconds, CFL: 7.50e-01
i:   2100, sim time: 1.038 hours, wall time: 46.157 seconds, progress 0.8646729131172146, Δt: 1.781 seconds, CFL: 7.50e-01
i:   2200, sim time: 1.087 hours, wall time: 46.799 seconds, progress 0.9059091405855585, Δt: 1.781 seconds, CFL: 7.50e-01
i:   2300, sim time: 1.137 hours, wall time: 47.432 seconds, progress 0.9471453553814785, Δt: 1.781 seconds, CFL: 7.50e-01
i:   2400, sim time: 1.186 hours, wall time: 48.063 seconds, progress 0.9883817732419284, Δt: 1.781 seconds, CFL: 7.50e-01
i:   2500, sim time: 1.236 hours, wall time: 48.706 seconds, progress 1.0296177846656742, Δt: 1.781 seconds, CFL: 7.50e-01
i:   2600, sim time: 1.285 hours, wall time: 49.364 seconds, progress 1.0705320458387557, Δt: 1.781 seconds, CFL: 7.50e-01
i:   2700, sim time: 1.334 hours, wall time: 50.006 seconds, progress 1.1117681573637879, Δt: 1.781 seconds, CFL: 7.50e-01
i:   2800, sim time: 1.384 hours, wall time: 50.638 seconds, progress 1.153004271634247, Δt: 1.781 seconds, CFL: 7.50e-01
i:   2900, sim time: 1.433 hours, wall time: 51.270 seconds, progress 1.1942405581144486, Δt: 1.781 seconds, CFL: 7.50e-01
i:   3000, sim time: 1.483 hours, wall time: 51.912 seconds, progress 1.2354768726400658, Δt: 1.781 seconds, CFL: 7.50e-01
i:   3100, sim time: 1.531 hours, wall time: 52.771 seconds, progress 1.2759788199134194, Δt: 1.781 seconds, CFL: 7.50e-01
i:   3200, sim time: 1.581 hours, wall time: 53.419 seconds, progress 1.317215181641602, Δt: 1.781 seconds, CFL: 7.50e-01
i:   3300, sim time: 1.630 hours, wall time: 54.051 seconds, progress 1.3584516187718647, Δt: 1.781 seconds, CFL: 7.50e-01
i:   3400, sim time: 1.680 hours, wall time: 54.692 seconds, progress 1.399687852517581, Δt: 1.781 seconds, CFL: 7.50e-01
i:   3500, sim time: 1.729 hours, wall time: 55.325 seconds, progress 1.4409241410566502, Δt: 1.781 seconds, CFL: 7.50e-01
i:   3600, sim time: 1.778 hours, wall time: 56.027 seconds, progress 1.4818379896289045, Δt: 1.781 seconds, CFL: 7.50e-01
i:   3700, sim time: 1.828 hours, wall time: 56.658 seconds, progress 1.5230742281132188, Δt: 1.781 seconds, CFL: 7.50e-01
i:   3800, sim time: 1.877 hours, wall time: 57.292 seconds, progress 1.5643107622121843, Δt: 1.781 seconds, CFL: 7.50e-01
i:   3900, sim time: 1.927 hours, wall time: 57.934 seconds, progress 1.60554689354607, Δt: 1.781 seconds, CFL: 7.50e-01
