Thu Aug 15 18:50:47 2024       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 545.23.08              Driver Version: 545.23.08    CUDA Version: 12.3     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  Tesla V100-SXM2-32GB           On  | 00000000:62:00.0 Off |                    0 |
| N/A   34C    P0              56W / 300W |    393MiB / 32768MiB |      0%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|    0   N/A  N/A     64792      C   julia                                       390MiB |
+---------------------------------------------------------------------------------------+
i:      0, sim time:  0 seconds, wall time:  0 seconds, progress        0.0, Δt: 1.778 seconds, CFL: 7.50e-01
i:    100, sim time: 2.964 minutes, wall time: 28.445 seconds, progress 0.010291061439367826, Δt: 1.779 seconds, CFL: 7.50e-01
i:    200, sim time: 5.929 minutes, wall time: 29.060 seconds, progress 0.020585407062284938, Δt: 1.779 seconds, CFL: 7.50e-01
i:    300, sim time: 8.893 minutes, wall time: 29.679 seconds, progress 0.03088017790954875, Δt: 1.779 seconds, CFL: 7.50e-01
i:    400, sim time: 11.858 minutes, wall time: 30.292 seconds, progress 0.04117509819281003, Δt: 1.779 seconds, CFL: 7.50e-01
i:    500, sim time: 14.824 minutes, wall time: 30.914 seconds, progress 0.051470962655658516, Δt: 1.779 seconds, CFL: 7.50e-01
i:    600, sim time: 17.788 minutes, wall time: 31.551 seconds, progress 0.06176228196377797, Δt: 1.779 seconds, CFL: 7.50e-01
i:    700, sim time: 20.753 minutes, wall time: 32.166 seconds, progress 0.07205903335884895, Δt: 1.779 seconds, CFL: 7.50e-01
i:    800, sim time: 23.719 minutes, wall time: 32.774 seconds, progress 0.08235738254850244, Δt: 1.780 seconds, CFL: 7.50e-01
i:    900, sim time: 26.685 minutes, wall time: 33.381 seconds, progress 0.09265688634357004, Δt: 1.780 seconds, CFL: 7.50e-01
i:   1000, sim time: 29.652 minutes, wall time: 33.997 seconds, progress 0.10295710104930131, Δt: 1.780 seconds, CFL: 7.50e-01
i:   1100, sim time: 32.611 minutes, wall time: 34.633 seconds, progress 0.11323141125553, Δt: 1.780 seconds, CFL: 7.50e-01
i:   1200, sim time: 35.577 minutes, wall time: 35.251 seconds, progress 0.12353238446829577, Δt: 1.780 seconds, CFL: 7.50e-01
i:   1300, sim time: 38.544 minutes, wall time: 35.858 seconds, progress 0.13383320916495428, Δt: 1.780 seconds, CFL: 7.50e-01
i:   1400, sim time: 41.510 minutes, wall time: 36.476 seconds, progress 0.14413326032331314, Δt: 1.780 seconds, CFL: 7.50e-01
i:   1500, sim time: 44.477 minutes, wall time: 37.082 seconds, progress 0.15443346457072288, Δt: 1.780 seconds, CFL: 7.50e-01
i:   1600, sim time: 47.433 minutes, wall time: 37.860 seconds, progress 0.1646975697565939, Δt: 1.780 seconds, CFL: 7.50e-01
i:   1700, sim time: 50.400 minutes, wall time: 38.469 seconds, progress 0.17499992002339324, Δt: 1.780 seconds, CFL: 7.50e-01
i:   1800, sim time: 53.367 minutes, wall time: 39.077 seconds, progress 0.18530202808040908, Δt: 1.780 seconds, CFL: 7.50e-01
i:   1900, sim time: 56.334 minutes, wall time: 39.694 seconds, progress 0.1956039571595967, Δt: 1.780 seconds, CFL: 7.50e-01
i:   2000, sim time: 59.301 minutes, wall time: 40.310 seconds, progress 0.20590628495051094, Δt: 1.780 seconds, CFL: 7.50e-01
i:   2100, sim time: 1.038 hours, wall time: 40.959 seconds, progress 0.21616368897755672, Δt: 1.780 seconds, CFL: 7.50e-01
i:   2200, sim time: 1.087 hours, wall time: 41.569 seconds, progress 0.2264673970467662, Δt: 1.780 seconds, CFL: 7.50e-01
i:   2300, sim time: 1.137 hours, wall time: 42.187 seconds, progress 0.23677125041869287, Δt: 1.780 seconds, CFL: 7.50e-01
i:   2400, sim time: 1.186 hours, wall time: 42.794 seconds, progress 0.24707456208515463, Δt: 1.780 seconds, CFL: 7.50e-01
