Thu Aug 15 14:45:33 2024       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 545.23.08              Driver Version: 545.23.08    CUDA Version: 12.3     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  Tesla V100-SXM2-32GB           On  | 00000000:62:00.0 Off |                    0 |
| N/A   34C    P0              58W / 300W |    393MiB / 32768MiB |      0%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|    0   N/A  N/A     35136      C   julia                                       390MiB |
+---------------------------------------------------------------------------------------+
i:      0, sim time:  0 seconds, wall time:  0 seconds, progress        0.0, Δt: 1.778 seconds, CFL: 7.50e-01
i:    100, sim time: 2.966 minutes, wall time: 29.341 seconds, progress 0.010296989190420158, Δt: 1.780 seconds, CFL: 7.50e-01
i:    200, sim time: 5.933 minutes, wall time: 29.945 seconds, progress 0.020601786209116384, Δt: 1.781 seconds, CFL: 7.50e-01
i:    300, sim time: 8.902 minutes, wall time: 30.548 seconds, progress 0.03090853228485565, Δt: 1.781 seconds, CFL: 7.50e-01
i:    400, sim time: 11.870 minutes, wall time: 31.143 seconds, progress 0.04121633875760331, Δt: 1.781 seconds, CFL: 7.50e-01
i:    500, sim time: 14.839 minutes, wall time: 31.740 seconds, progress 0.05152452572871892, Δt: 1.781 seconds, CFL: 7.50e-01
i:    600, sim time: 17.791 minutes, wall time: 32.372 seconds, progress 0.06177340436956517, Δt: 1.781 seconds, CFL: 7.50e-01
i:    700, sim time: 20.760 minutes, wall time: 32.970 seconds, progress 0.07208201288285719, Δt: 1.781 seconds, CFL: 7.50e-01
i:    800, sim time: 23.728 minutes, wall time: 33.581 seconds, progress 0.0823905893403909, Δt: 1.781 seconds, CFL: 7.50e-01
i:    900, sim time: 26.697 minutes, wall time: 34.177 seconds, progress 0.09269928720149946, Δt: 1.781 seconds, CFL: 7.50e-01
i:   1000, sim time: 29.666 minutes, wall time: 34.773 seconds, progress 0.10300813799335527, Δt: 1.781 seconds, CFL: 7.50e-01
i:   1100, sim time: 32.613 minutes, wall time: 35.404 seconds, progress 0.11323853269468243, Δt: 1.781 seconds, CFL: 7.50e-01
i:   1200, sim time: 35.582 minutes, wall time: 35.999 seconds, progress 0.1235475109989081, Δt: 1.781 seconds, CFL: 7.50e-01
i:   1300, sim time: 38.551 minutes, wall time: 36.600 seconds, progress 0.13385649172760689, Δt: 1.781 seconds, CFL: 7.50e-01
i:   1400, sim time: 41.520 minutes, wall time: 37.195 seconds, progress 0.14416543884703112, Δt: 1.781 seconds, CFL: 7.50e-01
i:   1500, sim time: 44.489 minutes, wall time: 37.798 seconds, progress 0.15447438090032, Δt: 1.781 seconds, CFL: 7.50e-01
i:   1600, sim time: 47.435 minutes, wall time: 38.493 seconds, progress 0.16470336830658194, Δt: 1.781 seconds, CFL: 7.50e-01
i:   1700, sim time: 50.404 minutes, wall time: 39.100 seconds, progress 0.17501232772761513, Δt: 1.781 seconds, CFL: 7.50e-01
i:   1800, sim time: 53.373 minutes, wall time: 39.695 seconds, progress 0.18532132638533358, Δt: 1.781 seconds, CFL: 7.50e-01
i:   1900, sim time: 56.342 minutes, wall time: 40.290 seconds, progress 0.19563023953959552, Δt: 1.781 seconds, CFL: 7.50e-01
i:   2000, sim time: 59.310 minutes, wall time: 40.895 seconds, progress 0.20593922902247558, Δt: 1.781 seconds, CFL: 7.50e-01
i:   2100, sim time: 1.038 hours, wall time: 41.529 seconds, progress 0.21616823088576415, Δt: 1.781 seconds, CFL: 7.50e-01
i:   2200, sim time: 1.087 hours, wall time: 42.132 seconds, progress 0.22647728563726122, Δt: 1.781 seconds, CFL: 7.50e-01
i:   2300, sim time: 1.137 hours, wall time: 42.729 seconds, progress 0.23678634499870593, Δt: 1.781 seconds, CFL: 7.50e-01
i:   2400, sim time: 1.186 hours, wall time: 43.326 seconds, progress 0.24709544091095045, Δt: 1.781 seconds, CFL: 7.50e-01
i:   2500, sim time: 1.236 hours, wall time: 43.930 seconds, progress 0.2574044462695135, Δt: 1.781 seconds, CFL: 7.50e-01
i:   2600, sim time: 1.285 hours, wall time: 44.557 seconds, progress 0.26763299634658283, Δt: 1.781 seconds, CFL: 7.50e-01
i:   2700, sim time: 1.334 hours, wall time: 45.162 seconds, progress 0.2779420309991728, Δt: 1.781 seconds, CFL: 7.50e-01
i:   2800, sim time: 1.384 hours, wall time: 45.759 seconds, progress 0.28825105142795987, Δt: 1.781 seconds, CFL: 7.50e-01
i:   2900, sim time: 1.433 hours, wall time: 46.354 seconds, progress 0.2985601226032766, Δt: 1.781 seconds, CFL: 7.50e-01
i:   3000, sim time: 1.483 hours, wall time: 46.955 seconds, progress 0.3088691996566466, Δt: 1.781 seconds, CFL: 7.50e-01
i:   3100, sim time: 1.532 hours, wall time: 47.580 seconds, progress 0.3190977923031848, Δt: 1.781 seconds, CFL: 7.50e-01
i:   3200, sim time: 1.581 hours, wall time: 48.200 seconds, progress 0.3294068654029154, Δt: 1.781 seconds, CFL: 7.50e-01
i:   3300, sim time: 1.631 hours, wall time: 48.799 seconds, progress 0.33971597404843934, Δt: 1.781 seconds, CFL: 7.50e-01
i:   3400, sim time: 1.680 hours, wall time: 49.394 seconds, progress 0.3500250425844356, Δt: 1.781 seconds, CFL: 7.50e-01
i:   3500, sim time: 1.730 hours, wall time: 49.999 seconds, progress 0.36033411170131974, Δt: 1.781 seconds, CFL: 7.50e-01
i:   3600, sim time: 1.779 hours, wall time: 50.624 seconds, progress 0.3705625897362253, Δt: 1.781 seconds, CFL: 7.50e-01
i:   3700, sim time: 1.828 hours, wall time: 51.228 seconds, progress 0.38087166017772645, Δt: 1.781 seconds, CFL: 7.50e-01
i:   3800, sim time: 1.878 hours, wall time: 51.822 seconds, progress 0.39118080357894347, Δt: 1.781 seconds, CFL: 7.50e-01
i:   3900, sim time: 1.927 hours, wall time: 52.427 seconds, progress 0.40148986184248237, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4000, sim time: 1.977 hours, wall time: 53.023 seconds, progress 0.4117988934300688, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4100, sim time: 2.026 hours, wall time: 53.655 seconds, progress 0.4220273981684196, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4200, sim time: 2.075 hours, wall time: 54.252 seconds, progress 0.43233645134009874, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4300, sim time: 2.125 hours, wall time: 54.848 seconds, progress 0.44264545486297074, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4400, sim time: 2.174 hours, wall time: 55.458 seconds, progress 0.4529546110007313, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4500, sim time: 2.224 hours, wall time: 56.054 seconds, progress 0.46326369975363024, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4600, sim time: 2.273 hours, wall time: 56.687 seconds, progress 0.4734922197423821, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4700, sim time: 2.322 hours, wall time: 57.283 seconds, progress 0.48380135083425585, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4800, sim time: 2.372 hours, wall time: 57.880 seconds, progress 0.49411040674646145, Δt: 1.781 seconds, CFL: 7.50e-01
i:   4900, sim time: 2.421 hours, wall time: 58.486 seconds, progress 0.5044194668222374, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5000, sim time: 2.471 hours, wall time: 59.084 seconds, progress 0.5147284597976012, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5100, sim time: 2.520 hours, wall time: 59.714 seconds, progress 0.5249569716352266, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5200, sim time: 2.569 hours, wall time: 1.005 minutes, progress 0.5352661084205562, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5300, sim time: 2.619 hours, wall time: 1.015 minutes, progress 0.545575093748577, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5400, sim time: 2.668 hours, wall time: 1.025 minutes, progress 0.5558841091714027, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5500, sim time: 2.718 hours, wall time: 1.035 minutes, progress 0.566193177435713, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5600, sim time: 2.767 hours, wall time: 1.046 minutes, progress 0.5764217551916959, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5700, sim time: 2.816 hours, wall time: 1.056 minutes, progress 0.5867308340874643, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5800, sim time: 2.866 hours, wall time: 1.066 minutes, progress 0.5970399062710473, Δt: 1.781 seconds, CFL: 7.50e-01
