Mon Aug 19 23:04:32 2024       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 545.23.08              Driver Version: 545.23.08    CUDA Version: 12.3     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  Tesla V100-SXM2-32GB           On  | 00000000:89:00.0 Off |                    0 |
| N/A   36C    P0              58W / 300W |    393MiB / 32768MiB |      0%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|    0   N/A  N/A     25789      C   julia                                       390MiB |
+---------------------------------------------------------------------------------------+
i:      0, sim time:  0 seconds, wall time:  0 seconds, progress        0.0, Δt: 3.549 seconds, CFL: 7.50e-01
i:    100, sim time: 5.888 minutes, wall time: 2.541 minutes, progress 0.020444775399125346, Δt: 3.552 seconds, CFL: 7.50e-01
i:    200, sim time: 11.776 minutes, wall time: 3.189 minutes, progress 0.040889956618553595, Δt: 3.553 seconds, CFL: 7.50e-01
i:    300, sim time: 17.665 minutes, wall time: 3.852 minutes, progress 0.06133745888351984, Δt: 3.553 seconds, CFL: 7.50e-01
i:    400, sim time: 23.554 minutes, wall time: 4.200 minutes, progress 0.08178635602242522, Δt: 3.555 seconds, CFL: 7.50e-01
i:    500, sim time: 29.445 minutes, wall time: 4.668 minutes, progress 0.10223790595679115, Δt: 3.556 seconds, CFL: 7.50e-01
i:    600, sim time: 35.296 minutes, wall time: 4.678 minutes, progress 0.1225567192184546, Δt: 3.556 seconds, CFL: 7.50e-01
i:    700, sim time: 41.185 minutes, wall time: 4.688 minutes, progress 0.14300390782713107, Δt: 3.555 seconds, CFL: 7.50e-01
i:    800, sim time: 47.075 minutes, wall time: 4.699 minutes, progress 0.16345353167784304, Δt: 3.557 seconds, CFL: 7.50e-01
i:    900, sim time: 52.964 minutes, wall time: 4.709 minutes, progress 0.18390350532052419, Δt: 3.557 seconds, CFL: 7.50e-01
i:   1000, sim time: 58.794 minutes, wall time: 4.719 minutes, progress 0.20414574609809283, Δt: 3.557 seconds, CFL: 7.50e-01
i:   1100, sim time: 1.078 hours, wall time: 4.729 minutes, progress 0.2245983333093309, Δt: 3.558 seconds, CFL: 7.50e-01
i:   1200, sim time: 1.176 hours, wall time: 4.740 minutes, progress 0.24490846825896678, Δt: 3.557 seconds, CFL: 7.50e-01
i:   1300, sim time: 1.274 hours, wall time: 4.750 minutes, progress 0.2653571897408424, Δt: 3.557 seconds, CFL: 7.50e-01
i:   1400, sim time: 1.372 hours, wall time: 4.760 minutes, progress 0.2858068464563597, Δt: 3.558 seconds, CFL: 7.50e-01
i:   1500, sim time: 1.470 hours, wall time: 4.770 minutes, progress 0.30625911056782557, Δt: 3.558 seconds, CFL: 7.50e-01
i:   1600, sim time: 1.568 hours, wall time: 4.781 minutes, progress 0.3267097034901025, Δt: 3.558 seconds, CFL: 7.50e-01
i:   1700, sim time: 1.666 hours, wall time: 4.791 minutes, progress 0.3471562148701775, Δt: 3.559 seconds, CFL: 7.50e-01
i:   1800, sim time: 1.764 hours, wall time: 4.801 minutes, progress 0.36746653532626183, Δt: 3.559 seconds, CFL: 7.50e-01
i:   1900, sim time: 1.862 hours, wall time: 4.812 minutes, progress 0.38791793424218446, Δt: 3.560 seconds, CFL: 7.50e-01
i:   2000, sim time: 1.960 hours, wall time: 4.822 minutes, progress 0.40836810377773314, Δt: 3.559 seconds, CFL: 7.50e-01
i:   2100, sim time: 2.058 hours, wall time: 4.832 minutes, progress 0.42881527538532455, Δt: 3.558 seconds, CFL: 7.50e-01
i:   2200, sim time: 2.156 hours, wall time: 4.842 minutes, progress 0.44926581838541935, Δt: 3.559 seconds, CFL: 7.50e-01
i:   2300, sim time: 2.254 hours, wall time: 4.853 minutes, progress 0.4695738503698921, Δt: 3.559 seconds, CFL: 7.50e-01
i:   2400, sim time: 2.352 hours, wall time: 4.863 minutes, progress 0.4900242237320701, Δt: 3.559 seconds, CFL: 7.50e-01
i:   2500, sim time: 2.450 hours, wall time: 4.873 minutes, progress 0.5104747298800446, Δt: 3.559 seconds, CFL: 7.50e-01
i:   2600, sim time: 2.548 hours, wall time: 4.883 minutes, progress 0.5309246232404381, Δt: 3.559 seconds, CFL: 7.50e-01
i:   2700, sim time: 2.647 hours, wall time: 4.894 minutes, progress 0.551375603794124, Δt: 3.559 seconds, CFL: 7.50e-01
i:   2800, sim time: 2.744 hours, wall time: 4.904 minutes, progress 0.5716220015993521, Δt: 3.559 seconds, CFL: 7.50e-01
i:   2900, sim time: 2.841 hours, wall time: 4.914 minutes, progress 0.5919256146110352, Δt: 3.559 seconds, CFL: 7.50e-01
i:   3000, sim time: 2.939 hours, wall time: 4.924 minutes, progress 0.6123755363893926, Δt: 3.559 seconds, CFL: 7.50e-01
i:   3100, sim time: 3.038 hours, wall time: 4.935 minutes, progress 0.6328271591554601, Δt: 3.559 seconds, CFL: 7.50e-01
i:   3200, sim time: 3.136 hours, wall time: 4.945 minutes, progress 0.6532766221453119, Δt: 3.559 seconds, CFL: 7.50e-01
i:   3300, sim time: 3.234 hours, wall time: 4.955 minutes, progress 0.6737241335147162, Δt: 3.558 seconds, CFL: 7.50e-01
i:   3400, sim time: 3.332 hours, wall time: 4.965 minutes, progress 0.6941742954819928, Δt: 3.559 seconds, CFL: 7.50e-01
i:   3500, sim time: 3.430 hours, wall time: 4.976 minutes, progress 0.714482866222045, Δt: 3.559 seconds, CFL: 7.50e-01
i:   3600, sim time: 3.528 hours, wall time: 4.986 minutes, progress 0.7349338990478188, Δt: 3.559 seconds, CFL: 7.50e-01
i:   3700, sim time: 3.626 hours, wall time: 4.996 minutes, progress 0.755383626878902, Δt: 3.559 seconds, CFL: 7.50e-01
i:   3800, sim time: 3.724 hours, wall time: 5.006 minutes, progress 0.7758332437301492, Δt: 3.559 seconds, CFL: 7.50e-01
i:   3900, sim time: 3.822 hours, wall time: 5.016 minutes, progress 0.7962841517191857, Δt: 3.559 seconds, CFL: 7.50e-01
i:   4000, sim time: 3.920 hours, wall time: 5.027 minutes, progress 0.8165900647509463, Δt: 3.559 seconds, CFL: 7.50e-01
i:   4100, sim time: 4.018 hours, wall time: 5.037 minutes, progress 0.8370405873634057, Δt: 3.559 seconds, CFL: 7.50e-01
i:   4200, sim time: 4.116 hours, wall time: 5.047 minutes, progress 0.8574898363717024, Δt: 3.559 seconds, CFL: 7.50e-01
i:   4300, sim time: 4.214 hours, wall time: 5.058 minutes, progress 0.8779404659720756, Δt: 3.558 seconds, CFL: 7.50e-01
i:   4400, sim time: 4.312 hours, wall time: 5.068 minutes, progress 0.8983914202215547, Δt: 3.559 seconds, CFL: 7.50e-01
i:   4500, sim time: 4.410 hours, wall time: 5.078 minutes, progress 0.9188431256489702, Δt: 3.559 seconds, CFL: 7.50e-01
i:   4600, sim time: 4.508 hours, wall time: 5.088 minutes, progress 0.9391474139744678, Δt: 3.558 seconds, CFL: 7.50e-01
i:   4700, sim time: 4.605 hours, wall time: 5.099 minutes, progress 0.9593924267884699, Δt: 3.559 seconds, CFL: 7.50e-01
i:   4800, sim time: 4.703 hours, wall time: 5.109 minutes, progress 0.9798409695188242, Δt: 3.558 seconds, CFL: 7.50e-01
i:   4900, sim time: 4.801 hours, wall time: 5.119 minutes, progress 1.00029239420183, Δt: 3.559 seconds, CFL: 7.50e-01
i:   5000, sim time: 4.900 hours, wall time: 5.129 minutes, progress 1.020740976095565, Δt: 3.558 seconds, CFL: 7.50e-01
i:   5100, sim time: 4.998 hours, wall time: 5.139 minutes, progress 1.0411919297961827, Δt: 3.558 seconds, CFL: 7.50e-01
i:   5200, sim time: 5.095 hours, wall time: 5.150 minutes, progress 1.0614986656969647, Δt: 3.558 seconds, CFL: 7.50e-01
i:   5300, sim time: 5.193 hours, wall time: 5.160 minutes, progress 1.0819494100684424, Δt: 3.559 seconds, CFL: 7.50e-01
i:   5400, sim time: 5.292 hours, wall time: 5.170 minutes, progress 1.1023991590079054, Δt: 3.558 seconds, CFL: 7.50e-01
i:   5500, sim time: 5.390 hours, wall time: 5.181 minutes, progress 1.122848322934517, Δt: 3.558 seconds, CFL: 7.50e-01
i:   5600, sim time: 5.487 hours, wall time: 5.191 minutes, progress 1.1430925128179952, Δt: 3.559 seconds, CFL: 7.50e-01
i:   5700, sim time: 5.584 hours, wall time: 5.201 minutes, progress 1.1634003651694158, Δt: 3.558 seconds, CFL: 7.50e-01
i:   5800, sim time: 5.682 hours, wall time: 5.211 minutes, progress 1.1838500536006613, Δt: 3.558 seconds, CFL: 7.50e-01
i:   5900, sim time: 5.781 hours, wall time: 5.222 minutes, progress 1.2042983711133093, Δt: 3.557 seconds, CFL: 7.50e-01
i:   6000, sim time: 5.879 hours, wall time: 5.232 minutes, progress 1.2247479481263444, Δt: 3.558 seconds, CFL: 7.50e-01
i:   6100, sim time: 5.977 hours, wall time: 5.242 minutes, progress 1.2451953273182077, Δt: 3.556 seconds, CFL: 7.50e-01
i:   6200, sim time: 6.075 hours, wall time: 5.252 minutes, progress 1.2656429573820316, Δt: 3.557 seconds, CFL: 7.50e-01
i:   6300, sim time: 6.173 hours, wall time: 5.263 minutes, progress 1.2859576891670383, Δt: 3.558 seconds, CFL: 7.50e-01
i:   6400, sim time: 6.271 hours, wall time: 5.273 minutes, progress 1.3064064814879635, Δt: 3.558 seconds, CFL: 7.50e-01
i:   6500, sim time: 6.369 hours, wall time: 5.283 minutes, progress 1.3268544934115012, Δt: 3.557 seconds, CFL: 7.50e-01
i:   6600, sim time: 6.467 hours, wall time: 5.293 minutes, progress 1.347305565993475, Δt: 3.557 seconds, CFL: 7.50e-01
i:   6700, sim time: 6.565 hours, wall time: 5.303 minutes, progress 1.3677480958722679, Δt: 3.555 seconds, CFL: 7.50e-01
i:   6800, sim time: 6.663 hours, wall time: 5.314 minutes, progress 1.3881965722158136, Δt: 3.557 seconds, CFL: 7.50e-01
i:   6900, sim time: 6.761 hours, wall time: 5.324 minutes, progress 1.4085137283179658, Δt: 3.556 seconds, CFL: 7.50e-01
