Mon Aug 19 23:04:43 2024       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 545.23.08              Driver Version: 545.23.08    CUDA Version: 12.3     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  Tesla V100-SXM2-32GB           On  | 00000000:1B:00.0 Off |                    0 |
| N/A   33C    P0              58W / 300W |    393MiB / 32768MiB |      0%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|    0   N/A  N/A      3203      C   julia                                       390MiB |
+---------------------------------------------------------------------------------------+
i:      0, sim time:  0 seconds, wall time:  0 seconds, progress        0.0, Δt:  49.538 ns, CFL: 7.50e-01
i:    100, sim time:   4.954 μs, wall time: 2.029 minutes, progress 2.8667547704824973e-10, Δt:  49.538 ns, CFL: 7.50e-01
i:    200, sim time:   9.908 μs, wall time: 2.040 minutes, progress 5.733509540964995e-10, Δt:  49.538 ns, CFL: 7.50e-01
i:    300, sim time:  14.861 μs, wall time: 2.050 minutes, progress 8.600264311447519e-10, Δt:  49.538 ns, CFL: 7.50e-01
i:    400, sim time:  19.815 μs, wall time: 2.061 minutes, progress 1.1467019081930043e-9, Δt:  49.538 ns, CFL: 7.50e-01
i:    500, sim time:  24.769 μs, wall time: 2.071 minutes, progress 1.4333773852412566e-9, Δt:  49.538 ns, CFL: 7.50e-01
i:    600, sim time:  29.723 μs, wall time: 2.082 minutes, progress 1.720052862289509e-9, Δt:  49.538 ns, CFL: 7.50e-01
i:    700, sim time:  34.676 μs, wall time: 2.092 minutes, progress 2.0067283393377615e-9, Δt:  49.538 ns, CFL: 7.50e-01
i:    800, sim time:  39.630 μs, wall time: 2.103 minutes, progress 2.293403816386014e-9, Δt:  49.538 ns, CFL: 7.50e-01
i:    900, sim time:  44.584 μs, wall time: 2.113 minutes, progress 2.5800792934342665e-9, Δt:  49.538 ns, CFL: 7.50e-01
i:   1000, sim time:  49.538 μs, wall time: 2.124 minutes, progress 2.866754770482519e-9, Δt:  49.538 ns, CFL: 7.50e-01
i:   1100, sim time:  54.491 μs, wall time: 2.134 minutes, progress 3.1534302475307716e-9, Δt:  49.538 ns, CFL: 7.50e-01
i:   1200, sim time:  59.445 μs, wall time: 2.144 minutes, progress 3.4401057245790237e-9, Δt:  49.538 ns, CFL: 7.50e-01
i:   1300, sim time:  64.399 μs, wall time: 2.155 minutes, progress 3.726781201627276e-9, Δt:  49.538 ns, CFL: 7.50e-01
i:   1400, sim time:  69.353 μs, wall time: 2.165 minutes, progress 4.013456678675528e-9, Δt:  49.538 ns, CFL: 7.50e-01
i:   1500, sim time:  74.306 μs, wall time: 2.176 minutes, progress 4.300132155723781e-9, Δt:  49.538 ns, CFL: 7.50e-01
i:   1600, sim time:  79.260 μs, wall time: 2.186 minutes, progress 4.586807632772032e-9, Δt:  49.538 ns, CFL: 7.50e-01
i:   1700, sim time:  84.214 μs, wall time: 2.197 minutes, progress 4.873483109820285e-9, Δt:  49.538 ns, CFL: 7.50e-01
i:   1800, sim time:  89.168 μs, wall time: 2.207 minutes, progress 5.160158586868537e-9, Δt:  49.538 ns, CFL: 7.50e-01
i:   1900, sim time:  94.121 μs, wall time: 2.217 minutes, progress 5.44683406391679e-9, Δt:  49.538 ns, CFL: 7.50e-01
i:   2000, sim time:  99.075 μs, wall time: 2.228 minutes, progress 5.733509540965042e-9, Δt:  49.538 ns, CFL: 7.50e-01
i:   2100, sim time: 104.029 μs, wall time: 2.238 minutes, progress 6.020185018013294e-9, Δt:  49.538 ns, CFL: 7.50e-01
i:   2200, sim time: 108.983 μs, wall time: 2.249 minutes, progress 6.3068604950615465e-9, Δt:  49.538 ns, CFL: 7.50e-01
i:   2300, sim time: 113.936 μs, wall time: 2.259 minutes, progress 6.5935359721097994e-9, Δt:  49.538 ns, CFL: 7.50e-01
i:   2400, sim time: 118.890 μs, wall time: 2.270 minutes, progress 6.8802114491580515e-9, Δt:  49.538 ns, CFL: 7.50e-01
i:   2500, sim time: 123.844 μs, wall time: 2.280 minutes, progress 7.166886926206303e-9, Δt:  49.538 ns, CFL: 7.50e-01
i:   2600, sim time: 128.798 μs, wall time: 2.290 minutes, progress 7.453562403254555e-9, Δt:  49.538 ns, CFL: 7.50e-01
