Mon Aug 19 23:04:34 2024       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 545.23.08              Driver Version: 545.23.08    CUDA Version: 12.3     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  Tesla V100-SXM2-32GB           On  | 00000000:89:00.0 Off |                    0 |
| N/A   31C    P0              57W / 300W |    393MiB / 32768MiB |      0%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|    0   N/A  N/A      3281      C   julia                                       390MiB |
+---------------------------------------------------------------------------------------+
i:      0, sim time:  0 seconds, wall time:  0 seconds, progress        0.0, Δt: 1.778 seconds, CFL: 7.50e-01
i:    100, sim time: 2.964 minutes, wall time: 2.040 minutes, progress 0.010291061439310786, Δt: 1.779 seconds, CFL: 7.50e-01
i:    200, sim time: 5.919 minutes, wall time: 2.573 minutes, progress 0.020552333048785475, Δt: 1.779 seconds, CFL: 7.50e-01
i:    300, sim time: 8.884 minutes, wall time: 2.583 minutes, progress 0.030847101137757495, Δt: 1.779 seconds, CFL: 7.50e-01
i:    400, sim time: 11.838 minutes, wall time: 3.237 minutes, progress 0.04110513339700264, Δt: 1.779 seconds, CFL: 7.50e-01
i:    500, sim time: 14.803 minutes, wall time: 3.247 minutes, progress 0.05140099641146096, Δt: 1.779 seconds, CFL: 7.50e-01
i:    600, sim time: 17.758 minutes, wall time: 3.913 minutes, progress 0.06165931255021002, Δt: 1.779 seconds, CFL: 7.50e-01
i:    700, sim time: 20.712 minutes, wall time: 4.262 minutes, progress 0.07191581082180344, Δt: 1.779 seconds, CFL: 7.50e-01
i:    800, sim time: 23.678 minutes, wall time: 4.272 minutes, progress 0.08221414613496983, Δt: 1.780 seconds, CFL: 7.50e-01
i:    900, sim time: 26.631 minutes, wall time: 4.747 minutes, progress 0.09247046551380801, Δt: 1.780 seconds, CFL: 7.50e-01
i:   1000, sim time: 29.598 minutes, wall time: 4.757 minutes, progress 0.10277067252809607, Δt: 1.780 seconds, CFL: 7.50e-01
i:   1100, sim time: 32.551 minutes, wall time: 4.768 minutes, progress 0.11302539037728275, Δt: 1.780 seconds, CFL: 7.50e-01
i:   1200, sim time: 35.504 minutes, wall time: 4.778 minutes, progress 0.12327896038732025, Δt: 1.780 seconds, CFL: 7.50e-01
i:   1300, sim time: 38.471 minutes, wall time: 4.789 minutes, progress 0.13357981383575732, Δt: 1.780 seconds, CFL: 7.50e-01
i:   1400, sim time: 41.424 minutes, wall time: 4.799 minutes, progress 0.1438328949067111, Δt: 1.780 seconds, CFL: 7.50e-01
i:   1500, sim time: 44.390 minutes, wall time: 4.809 minutes, progress 0.15413308699650655, Δt: 1.780 seconds, CFL: 7.50e-01
i:   1600, sim time: 47.344 minutes, wall time: 4.820 minutes, progress 0.16438850477859412, Δt: 1.780 seconds, CFL: 7.50e-01
i:   1700, sim time: 50.297 minutes, wall time: 4.831 minutes, progress 0.17464135140086812, Δt: 1.780 seconds, CFL: 7.50e-01
i:   1800, sim time: 53.264 minutes, wall time: 4.841 minutes, progress 0.18494347620570833, Δt: 1.780 seconds, CFL: 7.50e-01
i:   1900, sim time: 56.216 minutes, wall time: 4.851 minutes, progress 0.19519603883460637, Δt: 1.780 seconds, CFL: 7.50e-01
i:   2000, sim time: 59.184 minutes, wall time: 4.862 minutes, progress 0.20549835566681515, Δt: 1.780 seconds, CFL: 7.50e-01
i:   2100, sim time: 1.036 hours, wall time: 4.873 minutes, progress 0.215751535534545, Δt: 1.780 seconds, CFL: 7.50e-01
i:   2200, sim time: 1.085 hours, wall time: 4.883 minutes, progress 0.22600355612049905, Δt: 1.780 seconds, CFL: 7.50e-01
i:   2300, sim time: 1.134 hours, wall time: 4.893 minutes, progress 0.23630738051912165, Δt: 1.780 seconds, CFL: 7.50e-01
i:   2400, sim time: 1.183 hours, wall time: 4.904 minutes, progress 0.2465586712365225, Δt: 1.780 seconds, CFL: 7.50e-01
i:   2500, sim time: 1.233 hours, wall time: 4.914 minutes, progress 0.25686168349661226, Δt: 1.780 seconds, CFL: 7.50e-01
i:   2600, sim time: 1.282 hours, wall time: 4.925 minutes, progress 0.26711339429520553, Δt: 1.780 seconds, CFL: 7.50e-01
i:   2700, sim time: 1.332 hours, wall time: 4.935 minutes, progress 0.2774156796266545, Δt: 1.780 seconds, CFL: 7.50e-01
i:   2800, sim time: 1.381 hours, wall time: 4.946 minutes, progress 0.28766880430006175, Δt: 1.780 seconds, CFL: 7.50e-01
i:   2900, sim time: 1.430 hours, wall time: 4.956 minutes, progress 0.2979209577860391, Δt: 1.781 seconds, CFL: 7.50e-01
i:   3000, sim time: 1.479 hours, wall time: 4.966 minutes, progress 0.30822555213532576, Δt: 1.781 seconds, CFL: 7.50e-01
i:   3100, sim time: 1.529 hours, wall time: 4.977 minutes, progress 0.3184768849651876, Δt: 1.781 seconds, CFL: 7.50e-01
i:   3200, sim time: 1.578 hours, wall time: 4.987 minutes, progress 0.3287808853913675, Δt: 1.781 seconds, CFL: 7.50e-01
i:   3300, sim time: 1.627 hours, wall time: 4.998 minutes, progress 0.33903144317124356, Δt: 1.780 seconds, CFL: 7.50e-01
i:   3400, sim time: 1.677 hours, wall time: 5.008 minutes, progress 0.34928315366865215, Δt: 1.781 seconds, CFL: 7.50e-01
i:   3500, sim time: 1.726 hours, wall time: 5.019 minutes, progress 0.35958767894468074, Δt: 1.781 seconds, CFL: 7.50e-01
i:   3600, sim time: 1.775 hours, wall time: 5.029 minutes, progress 0.369838827756353, Δt: 1.781 seconds, CFL: 7.50e-01
i:   3700, sim time: 1.825 hours, wall time: 5.039 minutes, progress 0.3801436639699605, Δt: 1.781 seconds, CFL: 7.50e-01
i:   3800, sim time: 1.874 hours, wall time: 5.050 minutes, progress 0.3903948014470686, Δt: 1.781 seconds, CFL: 7.50e-01
i:   3900, sim time: 1.923 hours, wall time: 5.060 minutes, progress 0.40064527834489383, Δt: 1.781 seconds, CFL: 7.50e-01
